id,cityDesc,provDesc,regDesc,latitude,longitude
270,Burgos,Ilocos Norte,REGION I ,18.51611,120.64611
271,Burgos,Ilocos Sur,REGION I ,17.333,120.5
272,Burgos,Isabela,REGION II ,17.067,121.7
273,Burgos,La Union,REGION I ,16.517,120.467
274,Burgos,Pangasinan,REGION I ,16.04639,119.85667
275,Burgos,Dinagat Islands,REGION XIII ,10.017,126.067
276,Buruanga,Aklan,REGION VI ,11.85,121.9
277,Bustos,Bulacan,REGION III ,14.95,120.917
278,Busuanga,Palawan,REGION IV-B ,12.167,119.95
279,Butig,Lanao del Sur,BARMM,7.717,124.3
280,Butuan City,Agusan del Norte,REGION XIII ,8.95,125.53
281,Buug,Zamboanga Sibugay,REGION IX ,7.733,123.067
282,Caba,La Union,REGION I ,16.433,120.35
283,Cabadbaran,Agusan del Norte,REGION XIII ,9.117,125.533
284,Cabagan,Isabela,REGION II ,17.433,121.767
285,Cabanatuan City,Nueva Ecija,REGION III ,15.48,120.97
286,Cabangan,Zambales,REGION III ,15.133,120.15
287,Cabanglasan,Bukidnon,REGION X ,8.067,125.317
288,Cabarroguis,Quirino,REGION II ,16.583,121.5
289,Cabatuan,Iloilo,REGION VI ,10.883,122.483
290,Cabatuan,Isabela,REGION II ,16.95889,121.66917
291,Cabiao,Nueva Ecija,REGION III ,15.25,120.85
292,Cabucgayan,Biliran,REGION VIII ,11.483,124.567
293,Cabugao,Ilocos Sur,REGION I ,17.8,120.45
294,Cabusao,Camarines Sur,REGION V ,13.717,123.1
295,Cabuyao,Laguna,REGION IV-A ,14.27833,121.12472
296,Cadiz City,Negros Occidental,REGION VI ,10.95,123.3
297,Cagayan de Oro,Misamis Oriental,REGION X ,8.48,124.65
298,Cagayancillo,Palawan,REGION IV-B ,9.48194,121.03611
299,Cagdianao,Dinagat Islands,REGION XIII ,9.917,125.667
300,Cagwait,Surigao del Sur,REGION XIII ,8.917,126.3
301,Caibiran,Biliran,REGION VIII ,11.567,124.583
302,Cainta,Rizal,REGION IV-A ,14.567,121.117
303,Cajidiocan,Romblon,REGION IV-B ,12.367,122.683
304,Calabanga,Camarines Sur,REGION V ,13.717,123.233
305,Calaca,Batangas,REGION IV-A ,13.967,120.8
306,Calamba,Misamis Occidental,REGION X ,8.55833,123.64167
307,Calanasan,Apayao,CAR,18.25,121.033
308,Calanogas,Lanao del Sur,BARMM,7.75,124.1
309,Calapan City,Oriental Mindoro,REGION IV-B ,13.4,121.183
310,Calape,Bohol,REGION VII ,9.88,123.88
311,Calasiao,Pangasinan,REGION I ,16.017,120.367
312,Calatagan,Batangas,REGION IV-A ,13.833,120.633
313,Calatrava,Negros Occidental,REGION VI ,10.6,123.483
314,Calatrava,Romblon,REGION IV-B ,12.617,122.067
315,Calauag,Quezon,REGION IV-A ,13.9575,122.2875
316,Calauan,Laguna,REGION IV-A ,14.15,121.317
317,Calayan,Cagayan,REGION II ,19.267,121.483
318,Calbayog City,Samar,REGION VIII ,12.07,124.6
319,Calbiga,Samar,REGION VIII ,11.633,125.017
320,Calinog,Iloilo,REGION VI ,11.133,122.5
321,Calintaan,Occidental Mindoro,REGION IV-B ,12.57556,120.94278
322,Caloocan,Metro Manila,NCR,14.65,120.97
323,Calubian,Leyte,REGION VIII ,11.45,124.417
324,Calumpit,Bulacan,REGION III ,14.917,120.767
325,Caluya,Antique,REGION VI ,11.9,121.517
326,Camalaniugan,Cagayan,REGION II ,18.27444,121.67361
327,Camalig,Albay,REGION V ,13.133,123.667
328,Camaligan,Camarines Sur,REGION V ,13.625,123.15694
329,Camiling,Tarlac,REGION III ,15.7,120.417
330,Canaman,Camarines Sur,REGION V ,13.65,123.167
331,Can-avid,Eastern Samar,REGION VIII ,12,125.45
332,Candaba,Pampanga,REGION III ,15.09333,120.82833
333,Candelaria,Quezon,REGION IV-A ,13.93111,121.42333
334,Candelaria,Zambales,REGION III ,15.633,119.933
335,Candijay,Bohol,REGION VII ,9.82,124.5
336,Candon City,Ilocos Sur,REGION I ,17.2,120.45
337,Candoni,Negros Occidental,REGION VI ,9.8310444,122.6429806
338,Canlaon City,Negros Oriental,REGION VII ,10.383,123.2
339,Cantilan,Surigao del Sur,REGION XIII ,9.333,125.983
340,Caoayan,Ilocos Sur,REGION I ,17.533,120.4
341,Capalonga,Camarines Norte,REGION V ,14.333,122.5
342,Capas,Tarlac,REGION III ,15.3275,120.59083
343,Capoocan,Leyte,REGION VIII ,11.283,124.65
344,Capul,Northern Samar,REGION VIII ,12.417,124.183
345,Caraga,Davao Oriental,REGION XI ,7.333,126.567
346,Caramoan,Camarines Sur,REGION V ,13.767,123.867
347,Caramoran,Catanduanes,REGION V ,13.983,124.133
348,Carasi,Ilocos Norte,REGION I ,18.2,120.867
349,Carcar City,Cebu,REGION VII ,10.1,123.63
350,Cardona,Rizal,REGION IV-A ,14.48611,121.22889
351,Carigara,Leyte,REGION VIII ,11.3,124.683
352,Carles,Iloilo,REGION VI ,11.567,123.133
353,Carmen,Agusan del Norte,REGION XIII ,8.983,125.3
354,Carmen,Bohol,REGION VII ,9.82,124.2
355,Carmen,Cebu,REGION VII ,10.58,124.02
356,Carmen,North Cotabato,REGION XII ,7.2,124.783
357,Carmen,Davao del Norte,REGION XI ,7.36056,125.70639
358,Carmen,Surigao del Sur,REGION XIII ,9.217,125.967
359,Carmona,Cavite,REGION IV-A ,14.317,121.05
360,Carranglan,Nueva Ecija,REGION III ,15.967,121.067
361,Carrascal,Surigao del Sur,REGION XIII ,9.367,125.933
362,Casiguran,Aurora,REGION III ,16.28333,122.04444
363,Casiguran,Sorsogon,REGION V ,12.867,124.017
364,Castilla,Sorsogon,REGION V ,12.95,123.883
365,Castillejos,Zambales,REGION III ,14.933,120.2
366,Cataingan,Masbate,REGION V ,12,123.983
367,Catanauan,Quezon,REGION IV-A ,13.59167,122.325
368,Catarman,Camiguin,REGION X ,9.133,124.683
369,Catarman,Northern Samar,REGION VIII ,12.45,124.65
370,Catbalogan City,Samar,REGION VIII ,11.783,124.883
371,Cateel,Davao Oriental,REGION XI ,7.783,126.45
372,Catigbian,Bohol,REGION VII ,9.83,124.03
373,Catmon,Cebu,REGION VII ,10.72,124
374,Catubig,Northern Samar,REGION VIII ,12.4,125.05
375,Cauayan,Negros Occidental,REGION VI ,9.967,122.617
376,Cauayan City,Isabela,REGION II,16.767,121.783
377,Cavinti,Laguna,REGION IV-A ,14.25,121.517
378,Cavite City,Cavite,REGION IV-A ,14.483,120.9
379,Cawayan,Masbate,REGION V ,12.033,123.683
380,Cebu City,Cebu,REGION VII ,10.32,123.75
381,Cervantes,Ilocos Sur,REGION I ,16.99167,120.73333
382,City of San Fernando,Pampanga,REGION III ,15.033,120.683
383,Clarin,Bohol,REGION VII ,9.97,124.02
384,Clarin,Misamis Occidental,REGION X ,8.2,123.85
385,Claver,Dinagat Islands,REGION XIII ,9.567,125.733
386,Claveria,Cagayan,REGION II ,18.6075,121.085
387,Claveria,Masbate,REGION V ,12.9,123.25
